label,percentFilled,aspectRatio,huMoment1,huMoment2
book,0.89027,1.59657,0.198802,0.0066782
book,0.526905,1.1922,0.195476,0.00611422
book,0.861808,0.715877,0.196409,0.00546718
book,0.511897,0.905109,0.193372,0.00592467
book,0.494055,1.13555,0.193684,0.00553672
book,0.526367,0.94213,0.192841,0.00426494
book,0.882267,0.738372,0.187887,0.00446878
book,0.528252,0.924107,0.191304,0.00588359
book,0.462641,1.16465,0.217421,0.00991276
earbud_case,0.843888,1.2268,0.164111,0.00127705
earbud_case,0.705882,0.816176,0.166152,0.00168101
earbud_case,0.857815,0.686441,0.171384,0.00353298
earbud_case,0.716571,1.04386,0.167435,0.00196771
earbud_case,0.831689,1.1875,0.163521,0.00106177
earbud_case,0.667383,1.05556,0.168284,0.00254219
earbud_case,0.744748,0.823529,0.168137,0.00247222
earbud_case,0.697027,0.910448,0.167556,0.00229431
earbud_case,0.717149,1.13445,0.167429,0.00226041
glasses,0.707454,2.90588,0.363488,0.0896603
glasses,0.664967,0.34767,0.378418,0.100454
glasses,0.370679,0.945205,0.356427,0.0885294
glasses,0.237097,0.942584,0.594432,0.27017
glasses,0.368779,1.10606,0.367756,0.0931249
marker,0.866912,4.30612,0.395823,0.1289
marker,0.388105,1.67742,0.388559,0.123292
marker,0.77996,0.146154,0.651976,0.398017
marker,0.337309,0.469298,0.535611,0.259211
marker,0.324417,1.18286,0.40326,0.135057
marker,0.352275,0.52988,0.440486,0.166831
marker,0.769106,0.170833,0.60819,0.342123
marker,0.283152,0.626087,0.536731,0.260667
marker,0.283397,1.3038,0.498931,0.221485
scissors,0.317529,2.51825,0.501234,0.151066
scissors,0.225739,0.731959,0.483431,0.14192
scissors,0.24376,0.594427,0.463034,0.124168
scissors,0.222711,1.1194,0.416658,0.0895132
scissors,0.335773,2.40411,0.406098,0.0826197
scissors,0.254351,1.6,0.52639,0.185007
scissors,0.23346,0.720126,0.557956,0.212596
scissors,0.317177,0.366391,0.557106,0.205525
scissors,0.225953,0.710526,0.537582,0.18962
spork,0.522239,3.85714,0.614725,0.330217
spork,0.301406,1.89916,0.581318,0.292046
spork,0.238702,0.763285,0.590958,0.311012
spork,0.56184,0.2,0.704914,0.455311
spork,0.257602,0.545833,0.646138,0.379098
spork,0.5747,3.74286,0.524573,0.233117
spork,0.259768,0.545082,0.603064,0.321857
spork,0.242168,0.675439,0.599353,0.317064
spork,0.239295,1.28571,0.561571,0.271405
stress_ball,0.697565,1.67692,0.199742,0.00991404
stress_ball,0.71426,0.724299,0.181769,0.00766289
stress_ball,0.732843,0.72549,0.178863,0.00662583
stress_ball,0.726882,1.25806,0.179081,0.00670397
stress_ball,0.72717,1.52857,0.175517,0.0052772
stress_ball,0.655102,1.27564,0.204779,0.0103628
stress_ball,0.662083,0.721154,0.204058,0.01065
stress_ball,0.654097,0.775,0.208855,0.00926002
stress_ball,0.654254,1.17978,0.191468,0.00415975
usb,0.737778,2.11111,0.222967,0.0167398
usb,0.550175,0.936508,0.201243,0.0133037
usb,0.919034,0.515625,0.202605,0.0142258
usb,0.511502,1.18333,0.208051,0.0163248
usb,0.794958,2.05882,0.20355,0.0137794
usb,0.571734,1.21154,0.201787,0.0130681
usb,0.527511,0.722222,0.210692,0.0156719
usb,0.547511,0.784615,0.206677,0.0146792
usb,0.492677,1.30909,0.223949,0.0214113
wallet,0.932926,1.11053,0.166425,0.000483366
wallet,0.591156,1.01186,0.167078,0.000596615
wallet,0.902897,0.777328,0.173157,0.00261505
wallet,0.58648,0.962121,0.170549,0.00180351
wallet,0.634716,1.13913,0.169598,0.00113226
wallet,0.57477,1.02682,0.167533,0.000788296
wallet,0.891831,0.794239,0.171327,0.00179327
wallet,0.57698,0.949821,0.170628,0.00163352
wallet,0.577915,1.08197,0.169879,0.00117781
watch,0.633758,1.97959,0.263698,0.0366599
watch,0.494248,0.857143,0.231846,0.0234576
watch,0.622726,0.48731,0.25048,0.0317516
watch,0.517819,0.596859,0.265881,0.0382615
watch,0.512516,1.29197,0.23281,0.0236601
watch,0.542142,1.33803,0.223997,0.0185681
watch,0.478617,0.773399,0.245066,0.0276119
watch,0.616866,0.476395,0.268199,0.0394456
watch,0.460544,1.1506,0.251624,0.0305004
